$$Component_Title,$$Component_Description,$$Component_Type,$$Control_Id_List,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,Rule_Actual_State_Data_Request_Evidence_Format_Reference_URL_list,Rule_Actual_State_TimeToLive,$Check_Id,$Check_Description,Fetcher_id,Fetcher_Description,Fix_id,Fix_Description,Rule_implementation_status,Rule_POAM_Reference_URL,$$Namespace
Azure Cloud Infrastructure,Multi-cloud infrastructure security controls for Azure,Service,KSI-MLA-02,ksi-mla-02-azure,Implement comprehensive audit logging to track security events (Azure),min_log_retention_days,Minimum log retention period in days,90,90,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-azure-check,Validates Log Analytics and diagnostic settings configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
GCP Cloud Infrastructure,Multi-cloud infrastructure security controls for GCP,Service,KSI-CNA-01,ksi-cna-01-gcp,Restrict network traffic to only traffic from vetted locations or resources (GCP),allowed_ingress_cidrs,CIDR blocks allowed for network ingress traffic,"[""10.0.0.0/8""]","[""10.0.0.0/8"", ""172.16.0.0/12"", ""192.168.0.0/16""]",https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-gcp-check,Validates firewall rules and subnets restrict network traffic to vetted sources,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
GCP Cloud Infrastructure,Multi-cloud infrastructure security controls for GCP,Service,KSI-SVC-02,ksi-svc-02-gcp,Protect data in transit using encryption TLS 1.2+ (GCP),minimum_tls_version,Minimum TLS version required for encrypted communications,TLS_1_2,TLS_1_2,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-gcp-check,Validates SSL policies and Cloud SQL require TLS 1.2+,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
GCP Cloud Infrastructure,Multi-cloud infrastructure security controls for GCP,Service,KSI-IAM-01,ksi-iam-01-gcp,Require phishing-resistant multi-factor authentication for all interactive user accounts (GCP),require_hardware_mfa,Require hardware MFA devices instead of virtual MFA,false,false,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-gcp-check,Validates IAM bindings use Workload Identity and avoid service account keys,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
GCP Cloud Infrastructure,Multi-cloud infrastructure security controls for GCP,Service,KSI-SVC-06,ksi-svc-06-gcp,Manage and protect secrets using a dedicated secrets management solution (GCP),require_rotation,Require automatic rotation for secrets,true,true,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-gcp-check,Validates KMS keys and Secret Manager have rotation configured,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
GCP Cloud Infrastructure,Multi-cloud infrastructure security controls for GCP,Service,KSI-MLA-02,ksi-mla-02-gcp,Implement comprehensive audit logging to track security events (GCP),min_log_retention_days,Minimum log retention period in days,90,90,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-gcp-check,Validates Cloud Audit Logs and logging bucket configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-cna-01-aws,Restrict network traffic to only traffic from vetted locations or resources,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-check,Validates network traffic restrictions,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-02-aws,Protect data in transit using encryption (TLS 1.2+),,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-check,Validates TLS encryption requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-iam-01-aws,Require phishing-resistant multi-factor authentication for all interactive user accounts,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-check,Validates MFA requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-06-aws,Manage and protect secrets using a dedicated secrets management solution,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-check,Validates secrets management,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-mla-02-aws,Implement comprehensive audit logging,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-check,Validates audit logging configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-cna-01-azure,Restrict network traffic to only traffic from vetted locations or resources,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-check,Validates network traffic restrictions,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-02-azure,Protect data in transit using encryption (TLS 1.2+),,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-check,Validates TLS encryption requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-iam-01-azure,Require phishing-resistant multi-factor authentication for all interactive user accounts,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-check,Validates MFA requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-06-azure,Manage and protect secrets using a dedicated secrets management solution,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-check,Validates secrets management,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-mla-02-azure,Implement comprehensive audit logging,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-check,Validates audit logging configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-cna-01-gcp,Restrict network traffic to only traffic from vetted locations or resources,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-check,Validates network traffic restrictions,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-02-gcp,Protect data in transit using encryption (TLS 1.2+),,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-check,Validates TLS encryption requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-iam-01-gcp,Require phishing-resistant multi-factor authentication for all interactive user accounts,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-check,Validates MFA requirements,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-svc-06-gcp,Manage and protect secrets using a dedicated secrets management solution,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-check,Validates secrets management,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
OPA,Open Policy Agent as Policy Validation Point for Terraform,Validation,na,ksi-mla-02-gcp,Implement comprehensive audit logging,,,,,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-check,Validates audit logging configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
